frame_id,timestamp_ms,subject_id,exercise_folder,canonical_exercise,movement_group,form_quality,angle_view,avg_visibility,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,kp_nose_x,kp_left_eye_inner_x,kp_left_eye_x,kp_left_eye_outer_x,kp_right_eye_inner_x,kp_right_eye_x,kp_right_eye_outer_x,kp_left_ear_x,kp_right_ear_x,kp_mouth_left_x,kp_mouth_right_x,kp_left_shoulder_x,kp_right_shoulder_x,kp_left_elbow_x,kp_right_elbow_x,kp_left_wrist_x,kp_right_wrist_x,kp_left_pinky_x,kp_right_pinky_x,kp_left_index_x,kp_right_index_x,kp_left_thumb_x,kp_right_thumb_x,kp_left_hip_x,kp_right_hip_x,kp_left_knee_x,kp_right_knee_x,kp_left_ankle_x,kp_right_ankle_x,kp_left_heel_x,kp_right_heel_x,kp_left_foot_index_x,kp_right_foot_index_x,kp_nose_y,kp_left_eye_inner_y,kp_left_eye_y,kp_left_eye_outer_y,kp_right_eye_inner_y,kp_right_eye_y,kp_right_eye_outer_y,kp_left_ear_y,kp_right_ear_y,kp_mouth_left_y,kp_mouth_right_y,kp_left_shoulder_y,kp_right_shoulder_y,kp_left_elbow_y,kp_right_elbow_y,kp_left_wrist_y,kp_right_wrist_y,kp_left_pinky_y,kp_right_pinky_y,kp_left_index_y,kp_right_index_y,kp_left_thumb_y,kp_right_thumb_y,kp_left_hip_y,kp_right_hip_y,kp_left_knee_y,kp_right_knee_y,kp_left_ankle_y,kp_right_ankle_y,kp_left_heel_y,kp_right_heel_y,kp_left_foot_index_y,kp_right_foot_index_y,kp_nose_vis,kp_left_eye_inner_vis,kp_left_eye_vis,kp_left_eye_outer_vis,kp_right_eye_inner_vis,kp_right_eye_vis,kp_right_eye_outer_vis,kp_left_ear_vis,kp_right_ear_vis,kp_mouth_left_vis,kp_mouth_right_vis,kp_left_shoulder_vis,kp_right_shoulder_vis,kp_left_elbow_vis,kp_right_elbow_vis,kp_left_wrist_vis,kp_right_wrist_vis,kp_left_pinky_vis,kp_right_pinky_vis,kp_left_index_vis,kp_right_index_vis,kp_left_thumb_vis,kp_right_thumb_vis,kp_left_hip_vis,kp_right_hip_vis,kp_left_knee_vis,kp_right_knee_vis,kp_left_ankle_vis,kp_right_ankle_vis,kp_left_heel_vis,kp_right_heel_vis,kp_left_foot_index_vis,kp_right_foot_index_vis
0,0,subject_001,squat,bodyweight_squat,legs,good,front,0.9921,0,110,1919,980,159.48,160.16,32.38,29.48,179.62,179.01,163.13,165.48,214.91,175.68,176.28,176.64,180.45,183.83,186.86,196.56,213.51,257.65,261.91,486.01,479.14,730.43,738.45,960.27,985.55,1044.8,1061.46,1037.08,1058.8,1014.5,1038.75,1034.54,1023.23,1368.05,1347.02,1654.17,1639.28,1679.1,1677.6,1813.84,1785.97,563.12,539.42,523.14,510.8,588.48,603.85,615.12,487.13,626.41,526.24,592.31,338.49,724.72,242.99,827.93,239.68,835.98,235.25,856.71,269.23,827.16,282.62,805.54,445.48,650.4,411.42,688.7,384.12,718.16,401.69,688.09,339.44,787.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987,0.9883,0.9978,0.9803,0.9953,0.9689,0.9955,0.9703,0.9953,0.9723,1.0,1.0,0.9971,0.9978,0.9959,0.996,0.9539,0.9569,0.9884,0.9904
1,33,subject_001,squat,bodyweight_squat,legs,good,front,0.9922,0,110,1919,981,160.42,161.48,31.8,28.87,179.06,178.41,163.41,165.42,217.84,176.49,176.82,177.1,180.72,183.98,186.99,197.11,213.12,262.17,267.15,480.99,476.67,725.77,735.53,959.9,979.19,1044.79,1057.44,1036.41,1054.78,1011.74,1031.23,1034.72,1024.91,1367.88,1347.09,1654.56,1646.66,1679.33,1681.25,1813.02,1786.04,562.17,538.31,521.75,510.13,587.33,603.34,615.09,486.79,626.37,526.19,591.08,342.1,725.44,247.02,825.17,240.3,836.01,235.38,857.88,269.43,827.1,283.2,805.82,445.48,650.38,410.39,688.69,384.95,715.88,403.54,683.07,339.32,788.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987,0.9886,0.9978,0.9807,0.9953,0.9694,0.9955,0.9708,0.9953,0.9727,1.0,1.0,0.9971,0.9977,0.9959,0.996,0.9545,0.9578,0.9884,0.9903
2,66,subject_001,squat,bodyweight_squat,legs,good,front,0.9921,0,112,1919,982,160.0,161.65,32.26,28.74,179.59,178.77,163.26,166.49,220.43,177.5,177.5,177.67,181.94,185.2,188.39,197.66,213.2,265.37,271.27,480.38,473.56,723.78,724.78,955.51,962.53,1040.11,1040.26,1031.19,1037.78,1004.58,1011.42,1034.94,1025.03,1366.98,1346.99,1655.21,1648.91,1679.79,1681.91,1812.91,1786.04,561.91,537.99,521.33,509.9,587.21,603.36,615.29,486.76,626.66,526.16,590.8,345.38,726.04,249.01,823.9,242.55,836.09,237.28,858.4,270.92,827.11,285.27,806.93,449.8,653.83,414.48,687.93,385.93,713.37,406.32,679.46,339.27,787.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986,0.9885,0.9977,0.9806,0.9952,0.969,0.9954,0.9704,0.9951,0.9723,1.0,1.0,0.9969,0.9977,0.9959,0.996,0.9544,0.9578,0.9883,0.9902
3,99,subject_001,squat,bodyweight_squat,legs,good,front,0.9921,0,112,1919,982,160.24,161.55,32.44,28.89,179.68,178.66,163.32,166.66,222.65,178.83,178.58,178.64,183.36,186.69,190.06,198.53,213.7,268.14,274.61,480.23,472.52,720.04,719.93,945.12,951.75,1029.04,1028.83,1019.84,1025.82,991.48,998.18,1034.98,1025.07,1366.9,1347.76,1655.3,1648.97,1679.99,1681.89,1812.96,1785.15,561.34,537.64,521.01,509.71,587.05,603.36,615.4,486.77,626.99,525.94,589.97,346.33,726.6,250.65,823.89,242.82,836.09,237.29,858.4,270.9,825.9,285.28,806.92,451.03,654.65,416.18,688.14,387.51,712.3,408.71,678.66,339.55,788.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986,0.9888,0.9976,0.981,0.9951,0.9695,0.9952,0.9709,0.9949,0.9727,1.0,1.0,0.9968,0.9976,0.9958,0.9959,0.9544,0.9575,0.9884,0.9901
4,133,subject_001,squat,bodyweight_squat,legs,good,front,0.9922,0,112,1919,983,159.86,161.99,32.75,28.64,177.41,178.52,164.72,166.94,223.56,179.48,179.11,179.18,183.76,187.02,190.34,199.01,213.71,269.12,275.23,480.09,471.72,716.29,718.26,944.53,944.57,1028.53,1021.17,1019.72,1019.12,990.98,991.5,1035.25,1025.08,1367.78,1348.28,1655.3,1648.8,1679.89,1681.35,1812.87,1783.93,561.12,537.06,520.44,509.4,586.77,603.29,615.42,486.72,627.05,525.85,589.6,347.29,726.51,251.3,823.19,243.43,836.64,237.48,859.64,270.9,826.4,285.29,808.38,451.55,656.35,424.51,689.37,387.98,712.24,408.68,678.68,340.3,788.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985,0.9891,0.9975,0.9816,0.9948,0.9702,0.9949,0.9716,0.9946,0.9733,1.0,1.0,0.9967,0.9976,0.9959,0.9959,0.9546,0.9576,0.9885,0.9901
5,166,subject_001,squat,bodyweight_squat,legs,good,front,0.992,0,115,1919,983,159.49,163.7,32.7,27.73,175.94,177.81,165.4,166.74,223.55,179.54,179.16,179.24,183.79,187.02,190.34,199.13,213.7,269.17,275.08,480.06,471.83,716.61,718.94,946.99,948.1,1030.78,1023.74,1020.97,1020.98,991.62,995.94,1036.58,1025.55,1367.85,1348.71,1655.09,1648.72,1679.66,1680.55,1812.88,1783.17,561.12,537.02,520.37,509.33,586.75,603.33,615.53,486.87,627.42,525.98,589.69,348.77,726.67,252.61,819.32,246.14,836.37,239.05,859.41,272.54,825.86,287.38,808.28,452.69,656.92,429.38,691.32,388.57,711.73,408.99,677.97,340.13,788.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.989,0.9973,0.981,0.9945,0.9693,0.9947,0.9707,0.9943,0.9725,1.0,1.0,0.9966,0.9975,0.9958,0.9958,0.9545,0.9571,0.9885,0.99
6,199,subject_001,squat,bodyweight_squat,legs,good,front,0.9919,0,114,1919,985,160.07,165.45,32.33,27.02,176.22,177.1,165.14,166.53,225.39,181.25,180.88,180.94,185.6,188.45,191.48,200.59,214.07,271.27,277.06,480.39,471.66,719.71,719.51,955.4,951.16,1039.15,1026.29,1027.83,1025.38,998.79,999.79,1037.13,1025.63,1367.88,1348.67,1655.13,1648.58,1679.64,1680.36,1812.89,1782.29,561.17,536.99,520.35,509.24,586.76,603.35,615.62,486.86,627.42,526.02,589.7,349.42,726.04,254.13,815.96,246.77,837.82,239.18,861.26,273.41,828.15,288.39,810.24,453.75,657.27,429.17,693.44,388.67,711.72,409.04,677.98,339.16,788.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.989,0.9973,0.9807,0.9944,0.9686,0.9946,0.9701,0.9943,0.9721,1.0,1.0,0.9965,0.9974,0.9957,0.9957,0.9541,0.9566,0.9883,0.9897
7,233,subject_001,squat,bodyweight_squat,legs,good,front,0.9918,0,114,1919,991,160.77,167.88,31.88,25.84,177.82,176.65,164.2,166.46,226.84,182.28,181.87,181.94,186.66,189.28,192.12,201.4,214.22,273.06,279.05,480.31,471.54,722.04,721.81,966.79,965.95,1053.37,1043.2,1044.95,1041.09,1018.4,1017.41,1037.27,1026.07,1365.53,1346.89,1654.01,1647.77,1678.71,1679.75,1812.67,1781.55,561.18,536.97,520.33,509.19,586.75,603.35,615.64,486.87,627.42,526.1,589.69,350.68,725.84,256.74,811.32,248.18,840.19,240.31,866.47,274.26,832.79,289.03,813.09,455.38,657.96,425.79,694.87,388.68,711.78,409.28,678.03,337.47,789.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983,0.9889,0.9973,0.9806,0.9942,0.9683,0.9944,0.9698,0.9941,0.9719,1.0,1.0,0.9963,0.9974,0.9956,0.9956,0.9537,0.9562,0.9881,0.9895
8,266,subject_001,squat,bodyweight_squat,legs,good,front,0.9918,0,114,1919,992,162.03,169.62,31.06,24.77,178.75,176.42,163.83,166.33,228.0,183.17,182.75,182.85,187.15,189.66,192.37,202.04,214.23,274.42,280.29,480.64,471.54,725.9,726.55,976.22,976.12,1062.75,1056.83,1055.95,1053.55,1031.56,1030.31,1037.39,1026.81,1365.16,1346.36,1653.99,1647.32,1678.61,1679.27,1812.83,1781.53,560.86,536.56,520.04,508.99,586.29,602.95,615.57,486.88,627.42,526.09,589.15,351.47,725.85,259.85,807.69,248.87,840.17,240.83,867.07,274.25,833.01,288.96,813.13,455.42,657.95,423.34,695.47,388.68,711.88,409.43,678.14,336.12,789.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982,0.9891,0.9972,0.9808,0.9941,0.9685,0.9943,0.97,0.9939,0.9721,1.0,1.0,0.9962,0.9974,0.9956,0.9956,0.954,0.9558,0.9881,0.9894
9,299,subject_001,squat,bodyweight_squat,legs,good,front,0.9918,0,114,1919,991,162.25,170.06,30.77,24.3,178.93,176.31,163.83,166.18,228.98,183.97,183.51,183.6,187.84,190.29,192.91,202.57,214.31,275.35,281.21,480.82,471.79,728.7,732.14,981.87,981.3,1066.47,1064.59,1058.32,1060.42,1034.33,1037.08,1038.94,1028.74,1365.71,1346.35,1653.85,1646.91,1677.86,1678.94,1812.94,1781.53,560.63,536.19,519.86,508.88,585.94,602.68,615.56,487.05,627.48,526.08,588.84,351.97,726.62,260.37,807.53,249.18,839.54,240.86,866.94,274.73,831.32,289.32,811.54,455.31,657.86,422.78,695.64,388.65,711.89,409.55,678.18,335.97,789.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982,0.9893,0.9972,0.981,0.994,0.9686,0.9942,0.9701,0.9938,0.9721,1.0,1.0,0.9962,0.9974,0.9956,0.9956,0.9546,0.9556,0.9881,0.9893
