frame_id,timestamp_ms,subject_id,exercise_folder,canonical_exercise,movement_group,form_quality,angle_view,avg_visibility,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,kp_nose_x,kp_left_eye_inner_x,kp_left_eye_x,kp_left_eye_outer_x,kp_right_eye_inner_x,kp_right_eye_x,kp_right_eye_outer_x,kp_left_ear_x,kp_right_ear_x,kp_mouth_left_x,kp_mouth_right_x,kp_left_shoulder_x,kp_right_shoulder_x,kp_left_elbow_x,kp_right_elbow_x,kp_left_wrist_x,kp_right_wrist_x,kp_left_pinky_x,kp_right_pinky_x,kp_left_index_x,kp_right_index_x,kp_left_thumb_x,kp_right_thumb_x,kp_left_hip_x,kp_right_hip_x,kp_left_knee_x,kp_right_knee_x,kp_left_ankle_x,kp_right_ankle_x,kp_left_heel_x,kp_right_heel_x,kp_left_foot_index_x,kp_right_foot_index_x,kp_nose_y,kp_left_eye_inner_y,kp_left_eye_y,kp_left_eye_outer_y,kp_right_eye_inner_y,kp_right_eye_y,kp_right_eye_outer_y,kp_left_ear_y,kp_right_ear_y,kp_mouth_left_y,kp_mouth_right_y,kp_left_shoulder_y,kp_right_shoulder_y,kp_left_elbow_y,kp_right_elbow_y,kp_left_wrist_y,kp_right_wrist_y,kp_left_pinky_y,kp_right_pinky_y,kp_left_index_y,kp_right_index_y,kp_left_thumb_y,kp_right_thumb_y,kp_left_hip_y,kp_right_hip_y,kp_left_knee_y,kp_right_knee_y,kp_left_ankle_y,kp_right_ankle_y,kp_left_heel_y,kp_right_heel_y,kp_left_foot_index_y,kp_right_foot_index_y,kp_nose_vis,kp_left_eye_inner_vis,kp_left_eye_vis,kp_left_eye_outer_vis,kp_right_eye_inner_vis,kp_right_eye_vis,kp_right_eye_outer_vis,kp_left_ear_vis,kp_right_ear_vis,kp_mouth_left_vis,kp_mouth_right_vis,kp_left_shoulder_vis,kp_right_shoulder_vis,kp_left_elbow_vis,kp_right_elbow_vis,kp_left_wrist_vis,kp_right_wrist_vis,kp_left_pinky_vis,kp_right_pinky_vis,kp_left_index_vis,kp_right_index_vis,kp_left_thumb_vis,kp_right_thumb_vis,kp_left_hip_vis,kp_right_hip_vis,kp_left_knee_vis,kp_right_knee_vis,kp_left_ankle_vis,kp_right_ankle_vis,kp_left_heel_vis,kp_right_heel_vis,kp_left_foot_index_vis,kp_right_foot_index_vis
0,0,subject_001,squat,bodyweight_squat,legs,good,front,0.9608,193,30,679,1330,165.4,169.51,25.23,24.06,179.86,177.76,170.91,165.3,429.51,442.37,451.96,460.03,414.2,405.83,399.04,477.73,393.12,448.52,417.55,570.15,331.44,610.94,286.0,606.73,271.92,609.36,263.88,593.45,276.63,587.97,286.1,502.35,377.75,490.35,353.8,480.01,340.52,466.68,352.69,500.46,318.14,264.87,237.47,233.64,229.66,240.61,238.5,236.26,216.65,226.76,277.98,280.65,329.43,330.02,505.08,494.53,662.95,657.21,708.18,700.98,706.98,700.01,693.12,684.02,644.25,635.45,868.34,860.33,1070.53,1058.02,1096.24,1089.57,1145.83,1142.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963,0.9932,0.9756,0.9655,0.9536,0.9416,0.9542,0.9425,0.9537,0.94,0.9998,0.9998,0.9805,0.9843,0.9534,0.9652,0.6917,0.647,0.9254,0.943
1,66,subject_001,squat,bodyweight_squat,legs,good,front,0.9633,181,21,682,1334,167.81,170.49,24.34,23.62,179.31,176.14,171.98,165.11,416.69,429.55,439.83,450.05,405.03,397.35,390.61,472.36,388.85,437.24,407.05,566.75,328.9,605.84,282.78,608.09,266.41,611.22,253.74,596.79,269.01,590.4,280.11,502.09,376.02,489.16,350.75,475.31,341.73,459.65,358.09,498.91,316.24,255.29,228.75,224.89,220.75,232.36,230.98,228.99,209.21,217.76,269.58,272.59,328.58,324.49,497.94,493.82,657.59,657.16,699.38,700.89,698.87,700.03,685.95,684.03,650.77,644.29,873.01,865.68,1070.24,1060.1,1094.37,1089.53,1147.63,1145.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,0.9933,0.9765,0.9666,0.9553,0.9436,0.956,0.9444,0.9555,0.9422,0.9998,0.9998,0.9816,0.9855,0.9569,0.9677,0.7164,0.6731,0.9305,0.9466
2,133,subject_001,squat,bodyweight_squat,legs,good,front,0.965,171,15,685,1340,167.71,171.51,24.31,23.91,179.69,175.08,172.86,164.61,409.93,422.95,433.7,444.61,399.13,391.48,384.7,467.5,384.33,430.47,400.48,563.51,324.32,604.76,278.25,608.32,259.53,612.96,245.41,598.11,260.43,591.04,273.13,502.11,375.17,487.97,349.96,476.76,344.74,464.56,363.17,491.36,317.57,250.98,224.09,220.63,216.83,226.73,225.22,222.96,205.4,210.58,265.66,267.95,327.35,322.25,498.23,494.53,658.24,659.22,699.81,703.3,699.23,703.31,686.31,686.56,651.02,645.47,876.02,868.49,1071.11,1064.38,1094.27,1090.79,1151.29,1147.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,0.9934,0.9763,0.9675,0.9555,0.9452,0.9561,0.9459,0.9558,0.944,0.9998,0.9998,0.9826,0.9864,0.9601,0.9696,0.7336,0.6932,0.9348,0.9493
3,200,subject_001,squat,bodyweight_squat,legs,good,front,0.9659,160,12,689,1344,168.47,173.98,24.07,23.77,179.11,175.77,173.56,164.47,403.68,417.37,428.37,439.72,392.84,385.22,377.83,463.11,377.33,422.28,394.15,559.3,320.23,602.25,275.78,609.48,251.62,614.54,236.88,599.35,248.25,592.05,261.52,502.13,374.2,488.23,350.55,479.25,344.32,471.21,362.06,490.92,314.98,247.93,220.82,217.53,213.84,223.02,221.42,218.84,203.84,207.99,263.44,265.34,325.89,320.54,496.92,494.52,658.35,659.86,700.27,703.42,699.59,705.85,686.48,689.4,650.9,645.09,875.93,866.88,1070.92,1059.03,1092.5,1080.23,1154.43,1141.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,0.9934,0.9768,0.9689,0.9567,0.9475,0.9572,0.9481,0.9569,0.9465,0.9998,0.9998,0.9831,0.9867,0.9615,0.9688,0.7425,0.702,0.936,0.9479
4,266,subject_001,squat,bodyweight_squat,legs,good,front,0.9671,156,13,692,1340,168.68,174.74,23.95,23.71,178.77,176.07,173.45,164.26,398.64,412.69,424.02,435.69,387.89,380.73,373.84,459.66,374.93,418.03,389.81,557.49,318.21,601.27,274.42,609.94,248.75,616.2,233.26,599.76,242.45,592.06,256.6,502.13,373.68,490.24,349.98,484.38,342.73,478.31,360.39,491.18,313.14,247.51,219.65,216.34,212.68,222.1,220.62,218.3,203.64,208.39,263.07,265.06,324.22,319.86,495.19,494.53,658.43,660.09,700.6,703.53,699.71,706.95,686.66,690.8,651.93,646.72,875.77,868.25,1061.23,1059.5,1078.41,1079.72,1151.04,1141.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,0.9934,0.9778,0.9698,0.9583,0.949,0.9589,0.9497,0.9587,0.9484,0.9998,0.9998,0.9833,0.9872,0.9622,0.9693,0.7539,0.7159,0.9357,0.9474
5,333,subject_001,squat,bodyweight_squat,legs,good,front,0.9687,153,14,694,1339,169.18,176.49,24.1,23.03,179.76,175.31,172.94,163.69,389.83,404.59,415.66,427.4,379.86,372.53,364.68,451.5,368.59,409.67,382.25,554.99,313.16,599.63,272.85,610.72,245.51,617.68,231.04,601.46,241.35,593.64,254.06,500.14,371.66,491.16,347.79,484.39,342.47,477.98,361.08,493.07,310.94,248.33,220.4,217.08,213.44,222.78,221.12,218.76,204.0,209.01,263.39,265.63,325.76,321.84,496.1,496.81,660.14,660.87,701.39,703.68,700.7,706.83,686.97,691.08,656.6,651.87,875.59,869.43,1059.27,1062.95,1078.16,1080.8,1150.11,1149.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,0.9932,0.978,0.9698,0.9589,0.9491,0.9595,0.9499,0.9594,0.9489,0.9998,0.9998,0.9841,0.9881,0.965,0.9714,0.7716,0.7354,0.9399,0.9505
6,400,subject_001,squat,bodyweight_squat,legs,good,front,0.9709,152,18,695,1338,169.01,176.82,24.49,22.89,179.37,175.26,172.29,163.42,386.64,400.38,411.08,422.57,376.21,369.11,361.26,447.35,365.84,406.47,379.18,553.16,309.45,599.17,271.11,610.83,244.78,618.01,230.99,601.56,241.22,593.8,253.29,498.16,370.35,491.58,347.22,484.08,342.64,475.37,363.31,499.87,309.99,252.18,223.25,220.28,217.01,224.18,222.13,219.52,207.54,209.47,267.89,268.59,326.95,324.2,498.09,498.57,662.37,660.86,704.08,703.67,703.97,706.56,688.62,690.97,657.74,653.01,875.56,870.01,1057.07,1065.21,1077.66,1082.56,1146.09,1150.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964,0.9933,0.9794,0.9709,0.9615,0.9512,0.962,0.9517,0.962,0.9512,0.9998,0.9998,0.985,0.989,0.9676,0.9735,0.7914,0.7571,0.9444,0.9536
7,466,subject_001,squat,bodyweight_squat,legs,good,front,0.9721,153,21,697,1339,168.99,176.42,25.21,23.21,178.35,174.71,171.68,162.98,367.92,383.8,393.59,404.48,360.26,353.53,346.96,436.22,358.44,388.65,363.31,550.08,307.21,598.81,268.84,613.06,244.03,620.95,231.77,603.01,242.92,594.85,254.42,495.63,369.51,492.22,346.01,484.04,342.57,475.22,364.03,505.83,308.55,255.24,226.2,223.88,221.24,225.64,223.27,220.64,213.27,210.47,271.91,271.62,330.18,328.96,500.52,502.33,664.95,660.65,707.81,703.29,707.55,705.85,691.43,690.84,664.69,657.88,875.78,871.05,1057.84,1066.97,1078.92,1085.6,1151.11,1151.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964,0.9927,0.9798,0.9702,0.9621,0.9504,0.9627,0.9511,0.9627,0.9508,0.9997,0.9998,0.9855,0.9898,0.9696,0.9751,0.8068,0.7731,0.947,0.9555
8,533,subject_001,squat,bodyweight_squat,legs,good,front,0.9742,151,28,700,1340,169.41,177.3,25.76,22.97,177.68,174.95,170.75,163.28,362.49,378.65,388.9,400.19,354.75,348.2,342.08,431.85,352.44,383.45,358.31,547.22,304.18,597.99,267.29,614.71,242.08,622.59,230.41,604.7,243.19,596.41,253.83,492.73,366.78,492.58,344.97,484.98,342.29,474.81,364.07,508.71,308.36,258.06,228.7,226.59,224.23,228.0,225.85,223.82,217.9,216.15,276.25,275.6,332.61,333.19,504.33,505.48,666.71,657.98,709.51,701.87,709.04,702.56,692.75,689.11,665.75,658.83,876.03,872.24,1060.36,1068.06,1080.66,1088.39,1153.67,1151.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966,0.993,0.9811,0.9719,0.9645,0.9532,0.9651,0.9537,0.9651,0.9536,0.9997,0.9998,0.9865,0.9906,0.9721,0.977,0.8237,0.792,0.9511,0.9583
9,600,subject_001,squat,bodyweight_squat,legs,good,front,0.9753,152,31,701,1343,169.42,177.65,26.12,22.63,177.37,174.31,170.65,163.0,351.15,365.98,375.42,385.07,344.7,339.33,334.52,420.82,351.12,373.93,350.99,544.99,303.65,597.57,267.61,616.15,243.11,623.97,231.52,604.89,243.92,596.63,254.24,491.5,366.62,492.66,343.77,485.13,341.92,474.45,363.95,510.18,308.1,261.22,231.92,229.81,227.46,231.48,229.5,227.8,220.6,219.94,279.53,279.03,334.59,333.64,505.54,505.37,668.05,651.76,711.59,692.9,710.83,692.88,694.42,682.68,671.32,664.51,877.16,873.89,1064.2,1070.21,1083.62,1091.38,1156.13,1154.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965,0.9921,0.9814,0.9718,0.9648,0.953,0.9655,0.9537,0.9655,0.9537,0.9997,0.9998,0.987,0.9913,0.9739,0.9785,0.8368,0.8067,0.9535,0.9605
