frame_id,timestamp_ms,subject_id,exercise_folder,canonical_exercise,movement_group,form_quality,angle_view,avg_visibility,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,kp_nose_x,kp_left_eye_inner_x,kp_left_eye_x,kp_left_eye_outer_x,kp_right_eye_inner_x,kp_right_eye_x,kp_right_eye_outer_x,kp_left_ear_x,kp_right_ear_x,kp_mouth_left_x,kp_mouth_right_x,kp_left_shoulder_x,kp_right_shoulder_x,kp_left_elbow_x,kp_right_elbow_x,kp_left_wrist_x,kp_right_wrist_x,kp_left_pinky_x,kp_right_pinky_x,kp_left_index_x,kp_right_index_x,kp_left_thumb_x,kp_right_thumb_x,kp_left_hip_x,kp_right_hip_x,kp_left_knee_x,kp_right_knee_x,kp_left_ankle_x,kp_right_ankle_x,kp_left_heel_x,kp_right_heel_x,kp_left_foot_index_x,kp_right_foot_index_x,kp_nose_y,kp_left_eye_inner_y,kp_left_eye_y,kp_left_eye_outer_y,kp_right_eye_inner_y,kp_right_eye_y,kp_right_eye_outer_y,kp_left_ear_y,kp_right_ear_y,kp_mouth_left_y,kp_mouth_right_y,kp_left_shoulder_y,kp_right_shoulder_y,kp_left_elbow_y,kp_right_elbow_y,kp_left_wrist_y,kp_right_wrist_y,kp_left_pinky_y,kp_right_pinky_y,kp_left_index_y,kp_right_index_y,kp_left_thumb_y,kp_right_thumb_y,kp_left_hip_y,kp_right_hip_y,kp_left_knee_y,kp_right_knee_y,kp_left_ankle_y,kp_right_ankle_y,kp_left_heel_y,kp_right_heel_y,kp_left_foot_index_y,kp_right_foot_index_y,kp_nose_vis,kp_left_eye_inner_vis,kp_left_eye_vis,kp_left_eye_outer_vis,kp_right_eye_inner_vis,kp_right_eye_vis,kp_right_eye_outer_vis,kp_left_ear_vis,kp_right_ear_vis,kp_mouth_left_vis,kp_mouth_right_vis,kp_left_shoulder_vis,kp_right_shoulder_vis,kp_left_elbow_vis,kp_right_elbow_vis,kp_left_wrist_vis,kp_right_wrist_vis,kp_left_pinky_vis,kp_right_pinky_vis,kp_left_index_vis,kp_right_index_vis,kp_left_thumb_vis,kp_right_thumb_vis,kp_left_hip_vis,kp_right_hip_vis,kp_left_knee_vis,kp_right_knee_vis,kp_left_ankle_vis,kp_right_ankle_vis,kp_left_heel_vis,kp_right_heel_vis,kp_left_foot_index_vis,kp_right_foot_index_vis
0,0,subject_001,squat,bodyweight_squat,legs,good,front,0.8941,629,102,1919,933,134.64,149.51,50.93,59.84,169.04,154.2,151.08,110.41,972.49,935.75,928.45,921.4,951.91,950.16,945.14,864.49,914.72,956.11,952.87,814.68,873.34,1040.68,1107.58,1279.79,1321.31,1341.35,1383.79,1345.49,1373.79,1327.81,1346.71,992.03,1028.32,1283.99,1274.94,1585.09,1607.08,1611.59,1631.94,1709.0,1735.59,544.93,529.99,517.77,505.43,584.12,598.01,612.83,493.68,643.31,527.2,573.38,352.1,756.01,221.38,815.94,286.86,754.08,274.71,755.22,324.58,717.72,337.9,703.48,419.79,598.36,378.61,708.68,394.05,698.81,399.86,673.85,373.85,767.14,0.9996,0.9993,0.9992,0.9991,0.9992,0.9993,0.9993,0.9996,0.9997,0.9999,0.9999,0.9999,1.0,0.9793,0.9838,0.9592,0.9605,0.8966,0.8992,0.9011,0.9102,0.8742,0.902,0.9998,0.9998,0.806,0.8785,0.652,0.7373,0.3139,0.5204,0.6382,0.6996
1,33,subject_001,squat,bodyweight_squat,legs,good,front,0.8992,684,102,1912,935,134.69,151.05,58.02,61.33,168.93,160.8,143.6,114.54,1006.73,990.89,987.54,978.11,986.36,981.93,977.61,930.43,944.24,996.22,991.68,860.99,891.95,1075.97,1125.64,1322.57,1360.61,1389.56,1433.9,1386.26,1425.16,1363.67,1398.28,1004.77,1033.18,1287.31,1281.36,1586.88,1605.87,1611.3,1631.01,1734.4,1737.73,545.77,530.55,517.93,482.9,576.51,588.32,600.93,486.17,629.95,527.2,569.83,345.12,752.16,221.22,816.49,288.93,759.84,281.4,765.27,329.17,722.21,343.18,710.32,421.77,606.2,380.36,694.17,394.64,695.94,403.59,670.14,369.27,751.6,0.9996,0.9993,0.9993,0.9992,0.9993,0.9994,0.9994,0.9997,0.9998,0.9999,0.9999,0.9999,1.0,0.9809,0.9851,0.9621,0.9637,0.9038,0.9072,0.908,0.9172,0.8828,0.9095,0.9999,0.9998,0.8157,0.886,0.6702,0.7542,0.3249,0.5285,0.6586,0.7195
2,66,subject_001,squat,bodyweight_squat,legs,good,front,0.9049,788,112,1898,927,137.09,148.28,82.0,85.96,170.93,162.44,118.37,95.66,1061.12,1048.66,1046.24,1041.47,1042.0,1036.19,1030.3,986.12,987.03,1048.35,1042.77,947.48,972.31,1148.99,1169.25,1380.79,1406.95,1446.7,1477.63,1441.73,1474.27,1423.06,1452.02,1009.66,1029.64,1281.36,1278.38,1586.32,1605.91,1609.76,1632.99,1735.79,1740.89,533.8,518.41,506.03,483.73,552.26,563.76,576.24,471.47,614.55,517.09,554.84,334.19,740.19,229.06,811.35,292.73,761.47,283.13,774.14,329.04,730.22,343.03,715.26,421.2,610.85,386.96,692.88,397.0,696.81,407.11,670.18,368.61,749.84,0.9997,0.9994,0.9994,0.9993,0.9994,0.9994,0.9994,0.9997,0.9998,0.9999,0.9999,0.9999,1.0,0.9821,0.9865,0.9642,0.967,0.9096,0.9156,0.9136,0.9247,0.8901,0.9176,0.9999,0.9999,0.8211,0.8924,0.6924,0.7715,0.3507,0.5459,0.6829,0.74
3,99,subject_001,squat,bodyweight_squat,legs,good,front,0.9073,820,130,1888,918,144.81,151.76,87.66,98.78,169.84,164.19,106.75,82.52,1091.45,1080.66,1078.01,1074.5,1074.9,1070.05,1066.27,1020.41,1016.35,1075.74,1069.91,973.41,1007.96,1192.86,1210.44,1434.76,1461.64,1494.87,1529.27,1500.58,1529.08,1483.21,1503.26,1015.27,1029.41,1284.52,1279.62,1583.16,1608.27,1598.63,1634.08,1733.13,1736.73,534.14,519.18,506.86,484.44,552.63,563.46,575.0,471.32,610.96,517.24,553.24,335.09,738.42,243.36,806.05,297.01,762.81,283.02,781.36,327.2,740.24,342.83,720.76,424.78,612.73,385.62,690.02,395.46,697.81,406.87,669.87,365.45,748.38,0.9997,0.9995,0.9994,0.9994,0.9994,0.9995,0.9995,0.9997,0.9998,0.9999,0.9999,0.9999,1.0,0.9832,0.9876,0.9661,0.9696,0.9146,0.9221,0.9184,0.9304,0.8965,0.9239,0.9999,0.9999,0.8125,0.8898,0.7004,0.7761,0.365,0.5471,0.6938,0.7482
4,133,subject_001,squat,bodyweight_squat,legs,good,front,0.9039,837,171,1854,895,156.37,156.97,131.08,109.42,168.5,169.39,54.8,74.76,1138.62,1132.07,1128.06,1124.17,1125.4,1120.33,1110.81,1068.16,1068.25,1115.75,1110.05,1029.94,1003.25,1252.35,1243.48,1492.64,1496.21,1557.73,1574.43,1567.89,1578.88,1547.39,1556.47,983.3,999.39,1286.41,1278.96,1569.53,1586.78,1574.85,1618.28,1700.06,1709.82,539.71,524.4,511.59,494.11,556.08,566.98,578.88,470.03,607.88,520.48,554.77,336.08,718.28,275.91,792.4,311.79,766.36,286.69,792.82,330.13,752.21,349.95,723.9,431.94,621.42,382.55,685.75,393.66,698.37,422.36,672.4,364.63,744.52,0.9997,0.9995,0.9995,0.9994,0.9995,0.9995,0.9996,0.9998,0.9998,0.9999,0.9999,0.9999,1.0,0.9839,0.9882,0.9681,0.9711,0.9194,0.9258,0.9228,0.9337,0.9027,0.928,0.9999,0.9999,0.7636,0.8493,0.6897,0.7557,0.3747,0.5376,0.6868,0.7332
5,166,subject_001,squat,bodyweight_squat,legs,good,front,0.8979,833,186,1860,900,163.11,160.71,141.37,148.05,162.77,177.45,35.85,43.34,1180.82,1171.6,1173.14,1169.16,1168.39,1163.67,1150.5,1112.56,1092.06,1155.51,1146.82,1066.66,1077.38,1296.37,1275.24,1531.27,1541.16,1600.47,1616.36,1606.22,1616.6,1584.29,1586.72,980.69,1001.12,1285.49,1281.04,1574.85,1570.03,1595.89,1616.41,1701.38,1714.11,548.31,535.16,521.09,507.73,557.5,568.4,580.65,471.35,606.55,530.39,559.99,336.43,718.18,292.31,778.18,317.09,766.95,288.19,798.13,334.68,752.7,356.1,722.98,437.11,631.0,363.06,657.85,381.11,698.61,412.22,629.91,355.72,654.26,0.9998,0.9996,0.9995,0.9995,0.9995,0.9996,0.9996,0.9998,0.9998,0.9999,0.9999,0.9999,1.0,0.9844,0.989,0.9697,0.973,0.9234,0.9304,0.9265,0.9378,0.9083,0.9327,0.9999,0.9999,0.7055,0.7925,0.6643,0.7204,0.38,0.5191,0.6696,0.7074
6,199,subject_001,squat,bodyweight_squat,legs,good,front,0.8954,823,189,1847,900,165.47,164.05,147.94,145.25,164.76,177.73,27.89,53.79,1218.72,1211.84,1207.66,1202.3,1209.69,1206.63,1199.13,1144.02,1147.8,1191.41,1187.39,1083.69,1076.42,1330.88,1306.37,1572.45,1575.25,1643.69,1655.26,1648.33,1650.96,1626.48,1619.29,970.19,1002.33,1285.45,1290.51,1569.56,1525.54,1596.46,1546.87,1701.6,1648.69,551.13,539.36,526.52,513.78,560.46,570.06,580.85,472.18,608.04,531.71,560.37,338.38,715.25,300.44,774.64,324.98,767.74,291.37,799.38,342.99,751.7,363.38,722.63,436.3,629.33,364.15,606.33,375.84,578.17,409.49,556.7,358.76,563.5,0.9998,0.9996,0.9996,0.9995,0.9996,0.9996,0.9996,0.9998,0.9999,0.9999,0.9999,0.9999,1.0,0.9855,0.9899,0.9723,0.9754,0.9296,0.9365,0.9324,0.9433,0.916,0.9387,0.9999,0.9999,0.6626,0.7405,0.6574,0.69,0.4023,0.5115,0.6707,0.6955
7,233,subject_001,squat,bodyweight_squat,legs,good,front,0.8951,834,194,1851,898,174.03,167.53,152.85,140.76,166.03,172.03,18.97,57.4,1249.31,1241.03,1237.9,1233.89,1237.96,1234.91,1231.05,1184.09,1168.76,1227.08,1219.06,1123.63,1094.09,1369.34,1336.72,1608.11,1605.19,1683.26,1682.83,1682.13,1677.51,1659.19,1642.54,981.0,1018.56,1290.86,1316.97,1579.92,1539.13,1597.35,1572.34,1706.42,1661.28,550.79,538.85,526.44,513.58,561.49,571.55,582.8,472.42,607.14,531.45,560.6,338.44,713.01,325.55,767.0,337.93,767.35,295.47,798.17,352.26,752.04,370.94,724.32,421.29,617.08,360.04,587.73,374.11,596.86,405.23,581.34,362.35,594.48,0.9998,0.9996,0.9996,0.9996,0.9996,0.9997,0.9997,0.9998,0.9999,0.9999,0.9999,1.0,1.0,0.9865,0.9909,0.9747,0.9777,0.9357,0.9424,0.9383,0.9486,0.9236,0.9445,0.9999,0.9999,0.6376,0.6975,0.6582,0.6699,0.4275,0.5097,0.6822,0.6959
8,266,subject_001,squat,bodyweight_squat,legs,good,front,0.895,843,203,1856,899,170.96,169.9,156.42,153.33,166.09,167.1,15.41,39.38,1281.09,1274.41,1270.5,1266.77,1246.31,1242.29,1238.28,1208.53,1193.92,1253.43,1260.77,1152.71,1118.73,1416.22,1355.73,1624.87,1625.64,1697.01,1705.05,1701.04,1697.57,1666.55,1664.38,988.2,1009.14,1290.9,1336.52,1581.58,1556.59,1598.71,1581.0,1712.43,1689.86,550.68,538.25,525.74,513.28,553.01,565.19,577.52,467.51,603.9,529.52,555.94,339.09,707.4,325.27,758.07,347.34,767.33,303.28,800.62,352.71,754.39,374.86,729.72,421.39,619.48,361.61,615.81,375.5,663.62,402.9,601.91,366.03,678.12,0.9998,0.9997,0.9997,0.9996,0.9997,0.9997,0.9997,0.9998,0.9999,0.9999,0.9999,1.0,1.0,0.9875,0.9917,0.9768,0.9796,0.9412,0.9472,0.9436,0.953,0.9305,0.9495,0.9999,0.9999,0.6142,0.6623,0.6545,0.6629,0.4402,0.5098,0.6905,0.7039
9,299,subject_001,squat,bodyweight_squat,legs,good,front,0.8964,861,223,1867,895,170.6,173.78,155.88,154.49,165.99,165.07,14.63,35.66,1292.0,1269.31,1267.69,1266.3,1262.31,1258.1,1254.0,1224.05,1209.62,1279.53,1275.35,1164.78,1140.76,1417.62,1390.49,1611.49,1644.96,1689.58,1724.99,1697.53,1716.28,1663.76,1686.87,1005.0,1013.97,1294.47,1339.51,1581.6,1561.12,1599.9,1583.11,1715.87,1692.25,553.52,527.19,514.66,502.67,554.1,566.45,578.94,468.47,605.34,527.52,556.4,342.08,708.43,334.62,751.43,360.88,767.2,319.3,799.38,359.45,755.3,380.15,731.9,419.34,618.72,362.17,616.57,376.42,674.1,402.83,615.29,368.52,696.36,0.9998,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9999,0.9999,0.9999,0.9999,0.9999,1.0,0.9885,0.9924,0.9787,0.9813,0.946,0.9518,0.9482,0.9572,0.9366,0.9541,0.9999,0.9999,0.6051,0.6291,0.6623,0.6619,0.4578,0.508,0.7068,0.7169
